p=0.25 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
1384 103 181 716
1385 136 138 726
1386 193 91 716
1387 285 84 631
1388 387 77 536
1389 482 105 413
1390 560 138 302
1391 556 185 259
1392 491 263 246
1393 398 371 231
1394 292 511 197
1395 190 624 186
1396 93 733 174
1397 60 802 138
1398 43 802 155
1399 34 772 194
1400 31 703 266
1401 23 598 379
1402 29 466 505
1403 30 347 623
1404 52 237 711
1405 88 146 766
1406 132 110 758
1407 204 96 700
1408 301 93 606
1409 421 101 478
1410 504 113 383
1411 574 149 277
1412 589 189 222
1413 512 265 223
1414 409 378 213
1415 278 495 227
1416 165 629 206
1417 92 734 174
1418 55 795 150
1419 39 796 165
1420 25 772 203
1421 18 710 272
1422 24 604 372
1423 36 481 483
1424 48 335 617
1425 69 218 713
1426 107 136 757
1427 145 97 758
1428 210 83 707
1429 308 80 612
1430 403 88 509
1431 511 116 373
1432 581 154 265
1433 590 201 209
1434 527 274 199
1435 430 376 194
1436 304 487 209
1437 192 616 192
1438 114 720 166
1439 61 770 169
1440 44 785 171
1441 33 755 212
1442 26 693 281
1443 26 598 376
1444 36 487 477
1445 46 348 606
1446 71 234 695
1447 105 159 736
1448 149 110 741
1449 207 96 697
1450 292 100 608
1451 375 110 515
1452 478 138 384
1453 531 174 295
1454 521 235 244
1455 458 320 222
1456 359 432 209
1457 241 545 214
1458 146 659 195
1459 84 744 172
1460 55 778 167
1461 35 771 194
1462 33 730 237
1463 28 647 325
1464 36 540 424
1465 50 419 531
1466 57 291 652
1467 83 199 718
1468 112 139 749
1469 160 117 723
1470 239 110 651
1471 338 114 548
1472 430 122 448
1473 509 151 340
1474 537 200 263
1475 501 264 235
1476 409 360 231
1477 304 474 222
1478 203 586 211
1479 116 683 201
1480 62 762 176
1481 37 787 176
1482 38 763 199
1483 36 698 266
1484 38 604 358
1485 50 488 462
1486 52 364 584
1487 70 265 665
1488 94 168 738
1489 142 119 739
1490 211 95 694
1491 296 91 613
1492 389 100 511
1493 474 123 403
1494 521 162 317
1495 531 214 255
1496 476 301 223
1497 372 405 223
1498 253 533 214
1499 152 656 192
1500 89 748 163
1501 55 788 157
1502 43 783 174
1503 29 743 228
1504 25 670 305
1505 30 570 400
1506 38 437 525
1507 55 306 639
1508 78 197 725
1509 124 134 742
1510 173 93 734
1511 247 84 669
1512 340 83 577
1513 448 90 462
1514 535 115 350
1515 575 159 266
1516 524 228 248
1517 435 342 223
1518 327 472 201
1519 211 589 200
1520 122 706 172
1521 66 788 146
1522 34 819 147
1523 21 807 172
1524 27 751 222
1525 20 631 349
1526 30 508 462
1527 41 381 578
1528 54 253 693
1529 74 158 768
1530 111 107 782
1531 175 82 743
1532 281 74 645
1533 387 88 525
1534 483 105 412
1535 555 136 309
1536 561 192 247
1537 501 281 218
1538 403 392 205
1539 284 515 201
1540 180 642 178
1541 108 732 160
1542 58 787 155
1543 38 806 156
1544 27 770 203
1545 25 692 283
1546 30 583 387
1547 33 455 512
1548 48 325 627
1549 73 220 707
1550 99 140 761
1551 152 95 753
1552 235 78 687
1553 329 73 598
1554 429 88 483
1555 517 116 367
1556 556 158 286
1557 546 224 230
1558 476 314 210
1559 358 429 213
1560 242 564 194
1561 138 685 177
1562 73 774 153
1563 40 811 149
1564 29 802 169
1565 16 747 237
1566 20 670 310
1567 25 551 424
1568 30 411 559
1569 51 285 664
1570 73 175 752
1571 115 116 769
1572 176 83 741
1573 249 77 674
1574 352 81 567
1575 457 97 446
1576 527 132 341
1577 562 188 250
1578 526 263 211
1579 418 358 224
1580 289 499 212
1581 172 634 194
1582 107 747 146
1583 57 796 147
1584 40 811 149
1585 25 772 203
1586 25 712 263
1587 24 617 359
1588 26 477 497
1589 39 340 621
1590 52 214 734
1591 86 152 762
1592 140 103 757
1593 207 88 705
1594 297 81 622
1595 412 86 502
1596 508 111 381
1597 576 152 272
1598 566 210 224
1599 520 282 198
1600 418 377 205
1601 303 494 203
1602 189 616 195
1603 115 725 160
1604 68 774 158
1605 42 780 178
1606 39 748 213
1607 33 679 288
1608 28 590 382
1609 31 478 491
1610 40 353 607
1611 69 235 696
1612 108 157 735
1613 160 112 728
1614 219 92 689
1615 293 102 605
1616 383 117 500
1617 479 139 382
1618 552 168 280
1619 528 213 259
1620 468 315 217
1621 353 420 227
1622 230 555 215
1623 149 668 183
1624 86 734 180
1625 51 775 174
1626 33 781 186
1627 26 754 220
1628 27 659 314
1629 37 553 410
